INTERNAL_ROLE_CD;ACTION;VIEW;WIDGET;ID
*;actions;*;calendarMeetingList;
*;actions;*;clientList;
*;actions;*;clientViewOperations;
*;actions;*;meetingList;
*;actions;*;meetingViewButtons;
*;associate;*;contactEditList;
*;associate;*;meetingDocumentsList;
*;cancel-create;*;calendarFormForList;
*;cancel-create;*;calendarList;
*;cancel-create;*;calendarYearFormForList;
*;cancel-create;*;clientEdit;
*;cancel-create;*;clientEditButtons;
*;cancel-create;*;contactEditForm;
*;cancel-create;*;contactFormForList;
*;cancel-create;*;dictionaryForm;
*;cancel-create;*;dictionaryPickListPopup;
*;cancel-create;*;dictionaryTypeForm;
*;cancel-create;*;meetingDocumentsFormForList;
*;cancel-create;*;meetingEditResult;
*;cancel-create;*;meetingFormForList;
*;cancel-create;*;responsibilitiesActionForm;
*;cancel-create;*;responsibilitiesForm;
*;cancel-create;*;saleEdit;
*;change;*;lovlistExternal;
*;clear_cache;*;dictionaryGroupingHierarchy;
*;clear_cache;*;responsibilitiesActionGroupingHierarchy;
*;clear_cache;*;responsibilitiesGroupingHierarchy;
*;create;*;calendarList;
*;create;*;calendarMeetingList;
*;create;*;clientList;
*;create;*;contactEditList;
*;create;*;contactPickListPopup;
*;create;*;dictionaryGroupingHierarchy;
*;create;*;dictionaryPickListPopup;
*;create;*;lovWriteListOperationsExternal;
*;create;*;meetingDocumentsList;
*;create;*;meetingList;
*;create;*;responsibilitiesActionGroupingHierarchy;
*;create;*;responsibilitiesGroupingHierarchy;
*;create;*;saleList;
*;customExportToExcel;*;meetingList;
*;delete;*;contactPickListPopup;
*;delete;*;deletedJobsList;
*;delete;*;dictionaryGroupingHierarchy;
*;delete;*;enqueuedJobsList;
*;delete;*;failedJobsList;
*;delete;*;meetingDocumentsList;
*;delete;*;processingJobsList;
*;delete;*;responsibilitiesActionGroupingHierarchy;
*;delete;*;responsibilitiesGroupingHierarchy;
*;delete;*;saleList;
*;delete;*;scheduledJobsList;
*;delete;*;succeededJobsList;
*;deleteLov;*;lovlistExternal;
*;delete_association_and_contact;*;contactEditList;
*;delete_association_and_save_contact;*;contactEditList;
*;edit;*;calendarMeetingList;
*;edit;*;clientView;
*;edit;*;contactEditList;
*;edit;*;meetingDocumentsList;
*;edit;*;meetingList;
*;edit;*;meetingView;
*;edit;*;saleList;
*;export_liquibase;*;dictionaryGroupingHierarchy;
*;export_liquibase;*;responsibilitiesActionGroupingHierarchy;
*;export_liquibase;*;responsibilitiesGroupingHierarchy;
*;filter;*;dashboardFilter;
*;finish;*;clientEdit;
*;finish;*;clientEditButtons;
*;massEdit;*;calendarMeetingList;
*;massEdit;*;meetingList;
*;massSendEmail;*;calendarMeetingList;
*;massSendEmail;*;meetingList;
*;next;*;clientEdit;
*;next;*;clientEditButtons;
*;previous;*;clientEdit;
*;previous;*;clientEditButtons;
*;refresh;*;jobStatsActions;
*;requeue;*;deletedJobsList;
*;requeue;*;enqueuedJobsList;
*;requeue;*;failedJobsList;
*;requeue;*;processingJobsList;
*;requeue;*;scheduledJobsList;
*;requeue;*;succeededJobsList;
*;save;*;contactEditList;
*;save;*;contactFormForList;
*;save;*;dictionaryForm;
*;save;*;dictionaryGroupingHierarchy;
*;save;*;dictionaryPickListPopup;
*;save;*;dictionaryTypeForm;
*;save;*;lovCreateFormExternal;
*;save;*;lovUpdateFormExternal;
*;save;*;meetingDocumentsFormForList;
*;save;*;responsibilitiesActionForm;
*;save;*;responsibilitiesForm;
*;save;*;saleEdit;
*;save-with-validation;*;calendarFormForList;
*;save-with-validation;*;calendarList;
*;save-with-validation;*;calendarYearFormForList;
*;save-with-validation;*;meetingFormForList;
*;saveAndBack;*;lovCreateFormExternal;
*;saveAndBack;*;lovUpdateFormExternal;
*;saveAndContinue;*;meetingEditResult;
*;saveAndContinue;*;saleEdit;
*;save_and_go_to_client_edit_contacts;*;contactEditForm;
*;sendEmail;*;calendarMeetingList;
*;sendEmail;*;meetingList;
*;sendEmail;*;meetingViewButtons;
*;sendEmailNextDay;*;calendarMeetingList;
*;sendEmailNextDay;*;meetingViewButtons;
BUSINESS_ADMIN;sendEmailNextDay;*;meetingList;
CXBOX_USER;sendEmailNextDay;*;meetingList;
