INTERNAL_ROLE_CD;ACTION;VIEW;WIDGET;ID
*;actions;*;clientList;
*;actions;*;meetingList;
*;actions;*;meetingViewButtons;
*;associate;*;contactEditList;
*;associate;*;meetingDocumentsList;
*;cancel;*;clientEditButtons;
*;cancel-create;*;clientEdit;
*;cancel-create;*;contactEditForm;
*;cancel-create;*;contactFormForList;
*;cancel-create;*;dictionaryForm;
*;cancel-create;*;dictionaryTypeForm;
*;cancel-create;*;dictionaryTypePopup;
*;cancel-create;*;meetingDocumentsFormForList;
*;cancel-create;*;meetingEditResult;
*;cancel-create;*;meetingFormForList;
*;cancel-create;*;roleActionEdit;
*;cancel-create;*;roleViewformedit;
*;cancel-create;*;saleEdit;
*;change;*;lovlistExternal;
*;clear_cache;*;dictionary;
*;clear_cache;*;roleAction;
*;clear_cache;*;roleView;
*;create;*;clientList;
*;create;*;contactEditList;
*;create;*;contactPickListPopup;
*;create;*;dictionary;
*;create;*;dictionaryTypePopup;
*;create;*;lovWriteListOperationsExternal;
*;create;*;meetingDocumentsList;
*;create;*;meetingList;
*;create;*;roleAction;
*;create;*;roleView;
*;create;*;saleList;
*;create111;*;clientViewOperations;
*;delete;*;contactPickListPopup;
*;delete;*;deletedJobsList;
*;delete;*;dictionary;
*;delete;*;enqueuedJobsList;
*;delete;*;failedJobsList;
*;delete;*;meetingDocumentsList;
*;delete;*;processingJobsList;
*;delete;*;roleAction;
*;delete;*;roleView;
*;delete;*;saleList;
*;delete;*;scheduledJobsList;
*;delete;*;succeededJobsList;
*;deleteLov;*;lovlistExternal;
*;delete_association_and_contact;*;contactEditList;
*;delete_association_and_save_contact;*;contactEditList;
*;edit;*;clientView;
*;edit;*;contactEditList;
*;edit;*;meetingDocumentsList;
*;edit;*;meetingList;
*;edit;*;meetingView;
*;edit;*;saleList;
*;export_liquibase;*;dictionary;
*;export_liquibase;*;roleAction;
*;export_liquibase;*;roleView;
*;filter;*;dashboardFilter;
*;finish;*;clientEdit;
*;finish;*;clientEditButtons;
*;next;*;clientEdit;
*;next;*;clientEditButtons;
*;previous;*;clientEdit;
*;previous;*;clientEditButtons;
*;refresh;*;jobStatsActions;
*;requeue;*;deletedJobsList;
*;requeue;*;enqueuedJobsList;
*;requeue;*;failedJobsList;
*;requeue;*;processingJobsList;
*;requeue;*;scheduledJobsList;
*;requeue;*;succeededJobsList;
*;save;*;contactEditList;
*;save;*;contactFormForList;
*;save;*;dictionary;
*;save;*;dictionaryForm;
*;save;*;dictionaryTypeForm;
*;save;*;dictionaryTypePopup;
*;save;*;lovCreateFormExternal;
*;save;*;lovUpdateFormExternal;
*;save;*;meetingDocumentsFormForList;
*;save;*;meetingFormForList;
*;save;*;roleActionEdit;
*;save;*;roleViewformedit;
*;save;*;saleEdit;
*;saveAndBack;*;lovCreateFormExternal;
*;saveAndBack;*;lovUpdateFormExternal;
*;saveAndContinue;*;meetingEditResult;
*;saveAndContinue;*;saleEdit;
*;save_and_go_to_client_edit_contacts;*;contactEditForm;
*;sendEmail;*;meetingList;
*;sendEmail;*;meetingViewButtons;
*;sendEmailNextDay;*;meetingList;
*;sendEmailNextDay;*;meetingViewButtons;
